"task 4, stage 6, rank from 57, rank to 121, color 17",
"task 4, stage 6, rank from 58, rank to 122, color 10",
"task 4, stage 6, rank from 60, rank to 124, color 11",
"task 4, stage 6, rank from 61, rank to 125, color 1",
"task 4, stage 6, rank from 62, rank to 126, color 4",
"task 4, stage 6, rank from 64, rank to 0, color 14",
"task 4, stage 6, rank from 65, rank to 1, color 10",
"task 4, stage 6, rank from 67, rank to 3, color 19",
"task 4, stage 6, rank from 68, rank to 4, color 20",
"task 4, stage 6, rank from 69, rank to 5, color 18",
"task 4, stage 6, rank from 70, rank to 6, color 2",
"task 4, stage 6, rank from 72, rank to 8, color 4",
"task 4, stage 6, rank from 74, rank to 10, color 6",
"task 4, stage 6, rank from 75, rank to 11, color 11",
"task 4, stage 6, rank from 77, rank to 13, color 11",
"task 4, stage 6, rank from 78, rank to 14, color 6",
"task 4, stage 6, rank from 80, rank to 16, color 7",
"task 4, stage 6, rank from 81, rank to 17, color 9",
"task 4, stage 6, rank from 82, rank to 18, color 12",
"task 4, stage 6, rank from 83, rank to 19, color 2",
"task 4, stage 6, rank from 84, rank to 20, color 8",
"task 4, stage 6, rank from 86, rank to 22, color 9",
"task 4, stage 6, rank from 87, rank to 23, color 10",
"task 4, stage 6, rank from 89, rank to 25, color 21",
"task 4, stage 6, rank from 90, rank to 26, color 13",
"task 4, stage 6, rank from 92, rank to 28, color 15",
"task 4, stage 6, rank from 93, rank to 29, color 5",
"task 4, stage 6, rank from 94, rank to 30, color 16",
"task 4, stage 6, rank from 95, rank to 31, color 14",
"task 4, stage 6, rank from 96, rank to 32, color 12",
"task 4, stage 6, rank from 97, rank to 33, color 13",
"task 4, stage 6, rank from 98, rank to 34, color 14",
"task 4, stage 6, rank from 99, rank to 35, color 13",
"task 4, stage 6, rank from 100, rank to 36, color 22",
"task 4, stage 6, rank from 102, rank to 38, color 3",
"task 4, stage 6, rank from 103, rank to 39, color 21",
"task 4, stage 6, rank from 104, rank to 40, color 6",
"task 4, stage 6, rank from 105, rank to 41, color 16",
"task 4, stage 6, rank from 108, rank to 44, color 22",
"task 4, stage 6, rank from 109, rank to 45, color 24",
"task 4, stage 6, rank from 110, rank to 46, color 13",
"task 4, stage 6, rank from 111, rank to 47, color 9",
"task 4, stage 6, rank from 112, rank to 48, color 15",
"task 4, stage 6, rank from 113, rank to 49, color 10",
"task 4, stage 6, rank from 114, rank to 50, color 25",
"task 4, stage 6, rank from 115, rank to 51, color 25",
"task 4, stage 6, rank from 116, rank to 52, color 11",
"task 4, stage 6, rank from 117, rank to 53, color 15",
"task 4, stage 6, rank from 118, rank to 54, color 17",
"task 4, stage 6, rank from 119, rank to 55, color 1",
"task 4, stage 6, rank from 120, rank to 56, color 19",
"task 4, stage 6, rank from 121, rank to 57, color 17",
"task 4, stage 6, rank from 122, rank to 58, color 13",
"task 4, stage 6, rank from 124, rank to 60, color 11",
"task 4, stage 6, rank from 125, rank to 61, color 1",
"task 4, stage 6, rank from 126, rank to 62, color 4",
"task 5, stage 0, rank from 0, rank to 1, color 8",
"task 5, stage 0, rank from 1, rank to 0, color 14",
"task 5, stage 0, rank from 2, rank to 3, color 13",
"task 5, stage 0, rank from 3, rank to 2, color 13",
"task 5, stage 0, rank from 4, rank to 5, color 9",
"task 5, stage 0, rank from 5, rank to 4, color 9",
"task 5, stage 0, rank from 6, rank to 7, color 14",
"task 5, stage 0, rank from 7, rank to 6, color 14",
"task 5, stage 0, rank from 8, rank to 9, color 8",
"task 5, stage 0, rank from 9, rank to 8, color 5",
"task 5, stage 0, rank from 10, rank to 11, color 9",
"task 5, stage 0, rank from 11, rank to 10, color 15",
"task 5, stage 0, rank from 12, rank to 13, color 22",
"task 5, stage 0, rank from 13, rank to 12, color 20",
"task 5, stage 0, rank from 14, rank to 15, color 13",
"task 5, stage 0, rank from 15, rank to 14, color 16",
"task 5, stage 0, rank from 16, rank to 17, color 3",
"task 5, stage 0, rank from 17, rank to 16, color 3",
"task 5, stage 0, rank from 18, rank to 19, color 4",
"task 5, stage 0, rank from 19, rank to 18, color 4",
"task 5, stage 0, rank from 20, rank to 21, color 14",
"task 5, stage 0, rank from 21, rank to 20, color 8",
"task 5, stage 0, rank from 22, rank to 23, color 6",
"task 5, stage 0, rank from 23, rank to 22, color 5",
"task 5, stage 0, rank from 24, rank to 25, color 17",
"task 5, stage 0, rank from 25, rank to 24, color 17",
"task 5, stage 0, rank from 26, rank to 27, color 15",
"task 5, stage 0, rank from 27, rank to 26, color 12",
"task 5, stage 0, rank from 28, rank to 29, color 5",
"task 5, stage 0, rank from 29, rank to 28, color 7",
"task 5, stage 0, rank from 30, rank to 31, color 2",
"task 5, stage 0, rank from 31, rank to 30, color 2",
"task 5, stage 0, rank from 36, rank to 37, color 17",
"task 5, stage 0, rank from 37, rank to 36, color 17",
"task 5, stage 0, rank from 42, rank to 43, color 18",
"task 5, stage 0, rank from 43, rank to 42, color 18",
"task 5, stage 0, rank from 44, rank to 45, color 13",
"task 5, stage 0, rank from 45, rank to 44, color 16",
"task 5, stage 0, rank from 46, rank to 47, color 3",
"task 5, stage 0, rank from 47, rank to 46, color 3",
"task 5, stage 0, rank from 48, rank to 49, color 21",
"task 5, stage 0, rank from 49, rank to 48, color 23",
"task 5, stage 0, rank from 50, rank to 51, color 10",
"task 5, stage 0, rank from 51, rank to 50, color 9",
"task 5, stage 0, rank from 52, rank to 53, color 15",
"task 5, stage 0, rank from 53, rank to 52, color 15",
"task 5, stage 0, rank from 54, rank to 55, color 22",
"task 5, stage 0, rank from 55, rank to 54, color 20",
"task 5, stage 0, rank from 58, rank to 59, color 9",
"task 5, stage 0, rank from 59, rank to 58, color 10",
"task 5, stage 0, rank from 62, rank to 63, color 19",
"task 5, stage 0, rank from 63, rank to 62, color 19",
"task 5, stage 0, rank from 66, rank to 67, color 12",
"task 5, stage 0, rank from 67, rank to 66, color 8",
"task 5, stage 0, rank from 68, rank to 69, color 21",
"task 5, stage 0, rank from 69, rank to 68, color 23",
"task 5, stage 0, rank from 72, rank to 73, color 1",
"task 5, stage 0, rank from 73, rank to 72, color 1",
"task 5, stage 0, rank from 74, rank to 75, color 10",
"task 5, stage 0, rank from 75, rank to 74, color 11",
"task 5, stage 0, rank from 76, rank to 77, color 2",
"task 5, stage 0, rank from 77, rank to 76, color 2",
"task 5, stage 0, rank from 80, rank to 81, color 8",
"task 5, stage 0, rank from 81, rank to 80, color 7",
"task 5, stage 0, rank from 82, rank to 83, color 14",
"task 5, stage 0, rank from 83, rank to 82, color 11",
"task 5, stage 0, rank from 84, rank to 85, color 16",
"task 5, stage 0, rank from 85, rank to 84, color 16",
"task 5, stage 0, rank from 86, rank to 87, color 6",
"task 5, stage 0, rank from 87, rank to 86, color 6",
"task 5, stage 0, rank from 88, rank to 89, color 10",
"task 5, stage 0, rank from 89, rank to 88, color 11",
"task 5, stage 0, rank from 98, rank to 99, color 12",
"task 5, stage 0, rank from 99, rank to 98, color 15",
"task 5, stage 0, rank from 100, rank to 101, color 4",
"task 5, stage 0, rank from 101, rank to 100, color 4",
"task 5, stage 0, rank from 102, rank to 103, color 5",
"task 5, stage 0, rank from 103, rank to 102, color 5",
"task 5, stage 0, rank from 104, rank to 105, color 7",
"task 5, stage 0, rank from 105, rank to 104, color 6",
"task 5, stage 0, rank from 106, rank to 107, color 20",
"task 5, stage 0, rank from 107, rank to 106, color 22",
"task 5, stage 0, rank from 110, rank to 111, color 19",
"task 5, stage 0, rank from 111, rank to 110, color 19",
"task 5, stage 0, rank from 112, rank to 113, color 18",
"task 5, stage 0, rank from 113, rank to 112, color 18",
"task 5, stage 0, rank from 116, rank to 117, color 9",
"task 5, stage 0, rank from 117, rank to 116, color 7",
"task 5, stage 0, rank from 118, rank to 119, color 12",
"task 5, stage 0, rank from 119, rank to 118, color 11",
"task 5, stage 0, rank from 122, rank to 123, color 21",
"task 5, stage 0, rank from 123, rank to 122, color 23",
"task 5, stage 0, rank from 124, rank to 125, color 10",
"task 5, stage 0, rank from 125, rank to 124, color 10",
"task 5, stage 0, rank from 126, rank to 127, color 16",
"task 5, stage 0, rank from 127, rank to 126, color 13",
"task 5, stage 1, rank from 0, rank to 2, color 10",
"task 5, stage 1, rank from 1, rank to 3, color 12",
"task 5, stage 1, rank from 2, rank to 0, color 18",
"task 5, stage 1, rank from 3, rank to 1, color 16",
"task 5, stage 1, rank from 4, rank to 6, color 7",
"task 5, stage 1, rank from 5, rank to 7, color 2",
"task 5, stage 1, rank from 6, rank to 4, color 5",
"task 5, stage 1, rank from 7, rank to 5, color 2",
"task 5, stage 1, rank from 8, rank to 10, color 15",
"task 5, stage 1, rank from 9, rank to 11, color 9",
"task 5, stage 1, rank from 10, rank to 8, color 9",
"task 5, stage 1, rank from 11, rank to 9, color 7",
"task 5, stage 1, rank from 12, rank to 14, color 20",
"task 5, stage 1, rank from 13, rank to 15, color 7",
"task 5, stage 1, rank from 14, rank to 12, color 13",
"task 5, stage 1, rank from 15, rank to 13, color 9",
"task 5, stage 1, rank from 20, rank to 22, color 6",
"task 5, stage 1, rank from 21, rank to 23, color 7",
"task 5, stage 1, rank from 22, rank to 20, color 6",
"task 5, stage 1, rank from 23, rank to 21, color 16",
"task 5, stage 1, rank from 24, rank to 26, color 8",
"task 5, stage 1, rank from 25, rank to 27, color 5",
"task 5, stage 1, rank from 26, rank to 24, color 20",
"task 5, stage 1, rank from 27, rank to 25, color 6",
"task 5, stage 1, rank from 28, rank to 30, color 1",
"task 5, stage 1, rank from 30, rank to 28, color 1",
"task 5, stage 1, rank from 37, rank to 39, color 8",
"task 5, stage 1, rank from 39, rank to 37, color 10",
"task 5, stage 1, rank from 40, rank to 42, color 1",
"task 5, stage 1, rank from 41, rank to 43, color 3",
"task 5, stage 1, rank from 42, rank to 40, color 1",
"task 5, stage 1, rank from 43, rank to 41, color 3",
"task 5, stage 1, rank from 44, rank to 46, color 2",
"task 5, stage 1, rank from 45, rank to 47, color 21",
"task 5, stage 1, rank from 46, rank to 44, color 2",
"task 5, stage 1, rank from 47, rank to 45, color 12",
"task 5, stage 1, rank from 49, rank to 51, color 8",
"task 5, stage 1, rank from 51, rank to 49, color 7",
"task 5, stage 1, rank from 52, rank to 54, color 6",
"task 5, stage 1, rank from 53, rank to 55, color 8",
"task 5, stage 1, rank from 54, rank to 52, color 16",
"task 5, stage 1, rank from 55, rank to 53, color 13",
"task 5, stage 1, rank from 57, rank to 59, color 15",
"task 5, stage 1, rank from 59, rank to 57, color 13",
"task 5, stage 1, rank from 60, rank to 62, color 9",
"task 5, stage 1, rank from 61, rank to 63, color 21",
"task 5, stage 1, rank from 62, rank to 60, color 18",
"task 5, stage 1, rank from 63, rank to 61, color 14",
"task 5, stage 1, rank from 64, rank to 66, color 5",
"task 5, stage 1, rank from 65, rank to 67, color 10",
"task 5, stage 1, rank from 66, rank to 64, color 10",
"task 5, stage 1, rank from 67, rank to 65, color 8",
"task 5, stage 1, rank from 69, rank to 71, color 20",
"task 5, stage 1, rank from 71, rank to 69, color 10",
"task 5, stage 1, rank from 72, rank to 74, color 4",
"task 5, stage 1, rank from 73, rank to 75, color 13",
"task 5, stage 1, rank from 74, rank to 72, color 4",
"task 5, stage 1, rank from 75, rank to 73, color 10",
"task 5, stage 1, rank from 76, rank to 78, color 9",
"task 5, stage 1, rank from 77, rank to 79, color 21",
"task 5, stage 1, rank from 78, rank to 76, color 14",
"task 5, stage 1, rank from 79, rank to 77, color 11",
"task 5, stage 1, rank from 80, rank to 82, color 4",
"task 5, stage 1, rank from 81, rank to 83, color 14",
"task 5, stage 1, rank from 82, rank to 80, color 4",
"task 5, stage 1, rank from 83, rank to 81, color 18",
"task 5, stage 1, rank from 84, rank to 86, color 15",
"task 5, stage 1, rank from 85, rank to 87, color 14",
"task 5, stage 1, rank from 86, rank to 84, color 11",
"task 5, stage 1, rank from 87, rank to 85, color 11",
"task 5, stage 1, rank from 88, rank to 90, color 12",
"task 5, stage 1, rank from 89, rank to 91, color 15",
"task 5, stage 1, rank from 90, rank to 88, color 16",
"task 5, stage 1, rank from 91, rank to 89, color 22",
"task 5, stage 1, rank from 92, rank to 94, color 11",
"task 5, stage 1, rank from 93, rank to 95, color 12",
"task 5, stage 1, rank from 94, rank to 92, color 11",
"task 5, stage 1, rank from 95, rank to 93, color 13",
"task 5, stage 1, rank from 96, rank to 98, color 17",
"task 5, stage 1, rank from 97, rank to 99, color 22",
"task 5, stage 1, rank from 98, rank to 96, color 14",
"task 5, stage 1, rank from 99, rank to 97, color 17",
"task 5, stage 1, rank from 100, rank to 102, color 5",
"task 5, stage 1, rank from 101, rank to 103, color 3",
"task 5, stage 1, rank from 102, rank to 100, color 5",
"task 5, stage 1, rank from 103, rank to 101, color 3",
"task 5, stage 1, rank from 104, rank to 106, color 7",
"task 5, stage 1, rank from 106, rank to 104, color 5",
"task 5, stage 1, rank from 108, rank to 110, color 15",
"task 5, stage 1, rank from 109, rank to 111, color 22",
"task 5, stage 1, rank from 110, rank to 108, color 19",
"task 5, stage 1, rank from 111, rank to 109, color 12",
"task 5, stage 1, rank from 113, rank to 115, color 16",
"task 5, stage 1, rank from 115, rank to 113, color 18",
"task 5, stage 1, rank from 116, rank to 118, color 19",
"task 5, stage 1, rank from 118, rank to 116, color 23",
"task 5, stage 1, rank from 120, rank to 122, color 17",
"task 5, stage 1, rank from 121, rank to 123, color 23",
"task 5, stage 1, rank from 122, rank to 120, color 23",
"task 5, stage 1, rank from 123, rank to 121, color 19",
"task 5, stage 1, rank from 124, rank to 126, color 8",
"task 5, stage 1, rank from 125, rank to 127, color 19",
"task 5, stage 1, rank from 126, rank to 124, color 9",
"task 5, stage 1, rank from 127, rank to 125, color 17",
"task 5, stage 2, rank from 0, rank to 4, color 18",
"task 5, stage 2, rank from 1, rank to 5, color 5",
"task 5, stage 2, rank from 2, rank to 6, color 2",
"task 5, stage 2, rank from 3, rank to 7, color 2",
"task 5, stage 2, rank from 4, rank to 0, color 12",
"task 5, stage 2, rank from 5, rank to 1, color 5",
"task 5, stage 2, rank from 6, rank to 2, color 3",
"task 5, stage 2, rank from 7, rank to 3, color 3",
"task 5, stage 2, rank from 8, rank to 12, color 4",
"task 5, stage 2, rank from 9, rank to 13, color 2",
"task 5, stage 2, rank from 12, rank to 8, color 4",
"task 5, stage 2, rank from 13, rank to 9, color 2",
"task 5, stage 2, rank from 17, rank to 21, color 8",
"task 5, stage 2, rank from 18, rank to 22, color 3",
"task 5, stage 2, rank from 19, rank to 23, color 11",
"task 5, stage 2, rank from 21, rank to 17, color 8",
"task 5, stage 2, rank from 22, rank to 18, color 3",
"task 5, stage 2, rank from 23, rank to 19, color 7",
"task 5, stage 2, rank from 24, rank to 28, color 9",
"task 5, stage 2, rank from 25, rank to 29, color 16",
"task 5, stage 2, rank from 26, rank to 30, color 4",
"task 5, stage 2, rank from 27, rank to 31, color 13",
"task 5, stage 2, rank from 28, rank to 24, color 9",
"task 5, stage 2, rank from 29, rank to 25, color 19",
"task 5, stage 2, rank from 30, rank to 26, color 4",
"task 5, stage 2, rank from 31, rank to 27, color 14",
"task 5, stage 2, rank from 32, rank to 36, color 8",
"task 5, stage 2, rank from 34, rank to 38, color 9",
"task 5, stage 2, rank from 35, rank to 39, color 10",
"task 5, stage 2, rank from 36, rank to 32, color 7",
"task 5, stage 2, rank from 38, rank to 34, color 8",
"task 5, stage 2, rank from 39, rank to 35, color 9",
"task 5, stage 2, rank from 40, rank to 44, color 1",
"task 5, stage 2, rank from 41, rank to 45, color 6",
"task 5, stage 2, rank from 42, rank to 46, color 2",
"task 5, stage 2, rank from 43, rank to 47, color 20",
"task 5, stage 2, rank from 44, rank to 40, color 1",
"task 5, stage 2, rank from 45, rank to 41, color 6",
"task 5, stage 2, rank from 46, rank to 42, color 2",
"task 5, stage 2, rank from 47, rank to 43, color 22",
"task 5, stage 2, rank from 48, rank to 52, color 20",
"task 5, stage 2, rank from 49, rank to 53, color 5",
"task 5, stage 2, rank from 50, rank to 54, color 15",
"task 5, stage 2, rank from 51, rank to 55, color 5",
"task 5, stage 2, rank from 52, rank to 48, color 22",
"task 5, stage 2, rank from 53, rank to 49, color 6",
"task 5, stage 2, rank from 54, rank to 50, color 17",
